ytid,start_time,class,set
1VbV2YNULgk,30,sliding door,train
3EHIh3E0jPw,30,playing bagpipes,train
3EOTl-DLkuA,96,playing bass drum,train
1VBHnAVgROw,123,playing tabla,train
1bq8db5yJ8c,13,horse neighing,train
1cCdVvoxSt0,13,cat meowing,train
1VBHnAVgROw,71,playing tabla,train
1VeRZA0BCh4,30,female singing,train
1VAkPqd10bg,70,playing flute,train
1bI2T-BGTyA,55,playing flute,train
1blb5pBpfPY,199,playing glockenspiel,train
1bPtEqPp1ZI,20,toilet flushing,test
1cGRlhzUHfY,274,playing gong,train
1V4Cve4q1AE,118,people burping,test
3EOTl-DLkuA,109,playing bass drum,train
1V_o0pCQEqY,30,ambulance siren,train
1V_0s-uTJn4,87,playing trumpet,train
1dHg3BkwoL0,60,people cheering,train
1UXEIRRefyg,30,playing electric guitar,train
1UUo5IdjEIg,131,playing sitar,train
3ESBQNW6_Nc,30,playing acoustic guitar,train
1URGvicj3JI,30,"female speech, woman speaking",train
1Uq2SHyqGjE,38,playing table tennis,train
3EWfRLr4x8E,24,playing bass drum,train
-1ukRC9M6bc,50,playing drum kit,train
3EWfRLr4x8E,86,playing bass drum,test
1UKFRc9dwYM,16,playing bass guitar,test
1UJEBULnnw4,30,"playing violin, fiddle",train
1UjPZCh_Et4,0,pheasant crowing,train
1cqJbxkLJ-U,80,playing bass guitar,train
1cs02v2TmpU,469,people humming,test
1cys7eCAtqI,72,playing hammond organ,train
3EWX2KgHm1Q,50,playing clarinet,train
1Ubly3BZy1I,150,"railroad car, train wagon",train
1cevXFA4gXw,30,playing electric guitar,test
1cGRlhzUHfY,363,playing gong,test
3eWY9AfggNY,30,playing electric guitar,train
1cGkdcxFNNE,190,playing cymbal,train
1cHCXvYLzCc,24,waterfall burbling,train
3ewXYQZNqzA,6,playing steelpan,train
1cHY-ENWG3o,181,warbler chirping,test
3EUINVdijFA,530,"railroad car, train wagon",train
1cJxve3a8A0,28,plastic bottle crushing,train
1cK4jZWezsY,59,playing harmonica,train
3EpkfwdSWXg,37,people burping,train
3ErwVQwWTjg,143,playing table tennis,train
3ewXYQZNqzA,66,playing steelpan,train
1TThHJISLn0,350,people babbling,train
3EWLa-rV-MQ,353,electric grinder grinding,test
1TQHM-iTYZc,0,people running,train
3exeRhxU-8c,90,playing harp,train
1TOZgu_y0yA,0,people babbling,train
3eRlys2yHIE,60,baby babbling,train
1TKMjjF35Nc,40,chicken clucking,train
1ddycKKR6CE,30,playing acoustic guitar,train
1TK4JMWzKtk,69,playing ukulele,train
1d_goXmGmRk,132,beat boxing,train
1Thqsodw3zI,440,playing accordion,train
3EWz1TTw2xk,97,playing bagpipes,test
1TK4JMWzKtk,59,playing ukulele,train
1d_SzcAysxE,8,firing cannon,train
1ddvRm8MURI,30,car passing by,train
1dqOzyLbzyo,361,people humming,train
1TgdCpXdJy4,90,"playing marimba, xylophone",train
1cJxve3a8A0,74,plastic bottle crushing,train
1cHY-ENWG3o,230,warbler chirping,test
1cnZrhivdrM,30,"playing violin, fiddle",test
3ewEx0-QtUo,70,orchestra,train
3ExcWl0KPrM,17,magpie calling,train
1d_SzcAysxE,136,firing cannon,train
3ExcWl0KPrM,1,magpie calling,train
1dSM_IfiANE,30,playing electric guitar,train
1Tb7c70fJBs,10,toilet flushing,train
1TAdfd8_ogs,20,"engine accelerating, revving, vroom",test
3ey4dRJOmtU,5,singing bowl,test
1T9Q9gMJiis,133,rope skipping,train
1deg7_MXilA,520,playing electric guitar,test
3f2g_nfmto4,30,female singing,test
1T9jjPQxRHE,69,helicopter,train
1-T4A6yQDE0,67,chicken crowing,train
1T1ntA0jQuI,90,playing glockenspiel,train
1TF0A0cYBis,96,rope skipping,test
1d7mZRoVvco,380,playing saxophone,train
1dac7pLj_do,70,cap gun shooting,train
1erAq0EUU-o,168,people eating,test
1Swnba_tTiU,30,playing cello,test
1SUETL-TJNc,183,child singing,train
1e0azLSrkaM,30,"male speech, man speaking",test
3eyj4hGo9E8,692,people whispering,test
3fA_sTBERoM,274,singing bowl,train
1eQE_zbuuFA,80,airplane flyby,test
1Sld2psjrA8,56,playing snare drum,test
1T1ntA0jQuI,65,playing glockenspiel,train
1SLeqPXGZJo,60,horse neighing,train
1Sld2psjrA8,22,playing snare drum,test
1SiZFWR3Vxg,30,playing cello,train
3FciHDfmXF4,10,playing bassoon,test
1SMhLmaD0cY,30,male singing,train
1ShUS7kERkM,80,people burping,train
1Sg7XhF8w9E,155,playing cornet,train
1eLjEl8eDqk,30,stream burbling,train
1Sg7XhF8w9E,267,playing cornet,train
1ermtyNrbP0,30,playing acoustic guitar,train
1S8jJrEQNHQ,20,playing banjo,train
1SCKt2gaEmU,8,underwater bubbling,test
1esy_d0BPHU,52,cuckoo bird calling,test
1S3ikkCmJwU,30,playing french horn,train
1emMgdbf-L4,1,chicken crowing,train
1esy_d0BPHU,499,cuckoo bird calling,train
1RXtLjQJa6s,30,male singing,train
1eMOW_qwTpc,30,male singing,train
1RzyT8uU1Rs,50,playing didgeridoo,train
1duj52_gn5A,2,"cattle, bovinae cowbell",train
3F3hplSwczA,59,playing badminton,train
1e0JXqyN8vY,30,male singing,train
1e1OT72dgaA,240,playing hammond organ,train
3F6Dk865Xs8,560,playing table tennis,train
1eGRqwgzmAE,417,playing badminton,train
1eIC8TWra9w,30,playing trumpet,train
1eNvdYhkin4,200,helicopter,train
1etyNbiHjBk,133,dog howling,test
1RqcL4QlAKA,236,playing mandolin,train
1RqcL4QlAKA,78,playing mandolin,test
3fdw7WJRVQc,19,cat meowing,train
1etyNbiHjBk,151,dog howling,train
1RLYS_NkklQ,56,playing sitar,test
1RLYS_NkklQ,42,playing sitar,train
1RlNfiy5J3I,30,male singing,train
1ekAFZ9NAb4,30,toilet flushing,train
1RlJ7dvh5uQ,18,horse clip-clop,train
1RjGpYs0zVk,20,playing french horn,train
1RIFrK6EcfY,8,playing badminton,test
3fEL0gkhLO4,370,playing flute,train
1RjGpYs0zVk,0,playing french horn,train
1ewF4-m-OIE,129,people eating apple,train
1RKsyVTxXWg,40,skidding,train
1eQE_zbuuFA,55,airplane flyby,train
1RfD_izFUiI,123,playing zither,train
1eE4EpXsmVc,100,playing hammond organ,train
3F-fMQtxPDQ,21,playing trombone,train
1ewF4-m-OIE,190,people eating apple,train
1RaTycz9Qyo,30,car engine starting,train
1RDqXuU_V30,30,"engine accelerating, revving, vroom",train
1RapXkPSlZE,220,orchestra,train
1exI0JrKszU,260,playing french horn,test
1R01bTQsX7A,30,male singing,test
1ewbVONieDE,440,"race car, auto racing",train
1R_V_OdVMXM,44,singing bowl,test
-1qyr-IzqKY,60,playing accordion,train
1RfD_izFUiI,230,playing zither,test
1f3kw6U3oBI,30,skidding,train
1QVlyrEgkNw,100,yodelling,train
3F5aNGUx2Fk,530,playing bass guitar,train
1duj52_gn5A,18,"cattle, bovinae cowbell",train
3F6J2Ui9FmE,16,foghorn,test
3fgCYAQnyjQ,30,"female speech, woman speaking",train
1erAq0EUU-o,77,people eating,train
3FHqL6f6i-0,138,playing badminton,train
3Fluns8nl3Y,60,"bird chirping, tweeting",train
1QSd_2Trxig,77,playing electronic organ,train
1QSd_2Trxig,45,playing electronic organ,train
1g-1Gpwx9EE,73,playing cornet,train
1QRtdNmTf8g,30,dog bow-wow,test
1g-1Gpwx9EE,96,playing cornet,train
1QPLOtZGq6U,240,playing electric guitar,train
1g-0_MiQ4-Y,31,"cattle, bovinae cowbell",train
1QKk--6V0NE,5,"subway, metro, underground",train
1QJKckS71lk,230,driving motorcycle,test
3fj2ERhAoks,20,ambulance siren,train
3FNHqlc3z4I,39,volcano explosion,train
1fDpeM4ms_s,60,skidding,test
1ficajioicg,75,playing cornet,train
1QDOcfA2lqA,30,"male speech, man speaking",test
3fM2yAUuyak,34,volcano explosion,train
1ficajioicg,97,playing cornet,train
1g-0_MiQ4-Y,97,"cattle, bovinae cowbell",train
1QaR7vxbS4g,15,playing electric guitar,test
3fM2yAUuyak,4,volcano explosion,train
1fPfK7PqzIk,102,playing hammond organ,test
1g4QV7CYqOE,30,playing french horn,train
1Q7eUdwHtgE,30,playing acoustic guitar,train
1g2rxTmcLBk,39,magpie calling,train
-1q0XHPxqe8,80,"race car, auto racing",train
1fCTVjnuz1w,27,tapping guitar,test
1fqWnC_Ztow,80,playing acoustic guitar,train
1fykauxYW38,288,singing bowl,test
1PZzRz6Mcpk,30,male singing,test
1Q3iRHdOW9I,1,crow cawing,train
1g5DEUtn9pE,14,car passing by,train
1PxLdKDQZ6c,14,playing bassoon,train
3FOH39atqg4,0,church bell ringing,train
1fr6YgvX9qE,393,typing on computer keyboard,train
3fojNY8nH5I,51,playing theremin,train
1Pw8TJ8Zj-8,29,playing didgeridoo,train
1f8offEuACM,7,baby crying,test
3fojNY8nH5I,105,playing theremin,test
1f8offEuACM,19,baby crying,train
3fk70ahrb6g,60,playing bass guitar,train
3fomsZXG3aM,3,"engine accelerating, revving, vroom",train
1fr6YgvX9qE,569,typing on computer keyboard,train
1PoQXeRabzk,91,coyote howling,test
1PoQXeRabzk,43,coyote howling,train
1eY4SDnlWmo,38,playing table tennis,train
3fFn7zB-Hes,1,"railroad car, train wagon",test
3FGjcxEQUs8,82,playing guiro,train
3FOXGEV4Jjo,24,beat boxing,train
1gA93zC-ckQ,320,playing cello,train
1PkLB9AzpDs,772,squishing water,test
3foUfp2_xZc,30,people running,train
1PkLB9AzpDs,67,squishing water,train
3Fowu8XMqNU,20012,wind noise,train
1ffE8LCemOw,30,"engine accelerating, revving, vroom",train
3Fhn5xPlqKQ,149,playing hammond organ,train
3Fowu8XMqNU,20157,wind noise,train
1PeW_x3UHY8,30,"motorboat, speedboat acceleration",test
1PgwxYCi-qE,220,playing accordion,train
1fGD-4IegBg,37,"female speech, woman speaking",train
3fPKnU9ghYg,68,playing tabla,test
1PGuqJhUe1I,30,playing bass guitar,train
3FKo-H8rbjg,30,playing electric guitar,test
3fPKnU9ghYg,353,playing tabla,train
1ftL_rN_MFY,30,female singing,train
1P9wGKjGNfs,0,playing flute,test
1P8uK6H3Ry8,20,playing synthesizer,train
1PAzb0z7BsM,80,playing bass drum,test
1PAL-a2MnQk,16,train horning,test
1P2Jw5yWRXk,230,playing erhu,test
1PaJKElW94o,317,playing cymbal,train
3FpkTU25FqQ,30,child singing,train
1OYjfe7l9QE,30,playing trumpet,train
1gcKZuQga8k,30,playing electric guitar,test
1PAL-a2MnQk,213,train horning,train
3FPVxGMOAS4,79,beat boxing,train
1P8TREx-Ct8,0,police car (siren),train
1fAAnaWRLtc,1,sea waves,train
3FIT29yKpVw,30,printer printing,train
3fz-0wek44c,0,people coughing,test
1gWgFP--6OU,30,playing drum kit,train
1OvNVbBy4qA,30,playing bass guitar,train
1OUz3CT5Rs0,30,male singing,train
1O-VSeUADF8,30,playing double bass,train
3fQAojQ6blE,100,fire truck siren,test
3g_BO_Pjc-w,15,pig oinking,train
1OTaswv9WyU,0,fire truck siren,train
1OsEAVfqRvI,30,"male speech, man speaking",train
1OtXB3bH5i4,60,playing cello,train
1OrG_Up0lHw,30,playing bass guitar,test
1OTaswv9WyU,42,fire truck siren,train
1OQpe4gh34c,70,playing saxophone,train
-1oRfe0FQI8,60,"railroad car, train wagon",train
3G_gh1HuDZI,30,"playing violin, fiddle",train
1gfkeCGa3yM,30,playing acoustic guitar,test
1gjKpkfCUAM,30,playing electric guitar,train
3ftKBL3_lvM,20,stream burbling,train
1gw5xoQef_s,25,pheasant crowing,train
1OqxbyQG1GY,85,playing electronic organ,train
3FVwWYkKLOs,149,playing hockey,train
3fywowLBY4s,38,chicken clucking,train
1gaq4fwcdBg,189,snake hissing,train
1gD2alPAZfM,22,pig oinking,test
1gEwupJTJrg,135,playing ukulele,test
1gFf0ne7K3I,40,cattle mooing,test
3fs7seagzhw,30,playing electric guitar,test
1Ok615yybrU,30,playing electric guitar,train
1gtmnXtBBvw,30,"male speech, man speaking",test
1gw5xoQef_s,0,pheasant crowing,train
1OIPJQMnPHY,909,playing snare drum,train
1gVmC3MU8nA,4,tractor digging,train
1OdzLHeBbNs,121,playing bassoon,train
3fywowLBY4s,75,chicken clucking,train
1OdzLHeBbNs,99,playing bassoon,train
1OB-RgHxjPU,414,"heart sounds, heartbeat",train
3FUzlSgIEwo,300,playing vibraphone,train
3-fx6PqrTUM,109,"subway, metro, underground",train
1OB-RgHxjPU,54,"heart sounds, heartbeat",test
1gEwupJTJrg,160,playing ukulele,train
1gUpeFuaxFU,30,female singing,train
3G5jnxpYvuk,510,playing accordion,test
1NzhbaUyDjY,167,underwater bubbling,test
3fueg5jccw8,125,dinosaurs bellowing,train
3-fx6PqrTUM,96,"subway, metro, underground",train
1NzhbaUyDjY,208,underwater bubbling,train
3G5fDVM6gpc,30,playing electric guitar,train
1Nx2hhToXt0,116,"electric shaver, electric razor shaving",train
1gvhZOwf_eY,30,female singing,train
3G5MLeZpyQc,30,car engine knocking,train
1NwLg4lL0Hs,30,playing electric guitar,train
1NwFHr4VHS0,90,playing clarinet,train
1NxWZyuL5Wc,19,missile launch,train
1NW_QIkn1tQ,50,playing mandolin,train
1NW_QIkn1tQ,12,playing mandolin,test
1gS-DK-3Ja0,379,people burping,train
1h1Ktc3aNoE,30,"motorboat, speedboat acceleration",train
1NTsWn1Gir4,103,playing snare drum,train
1NTsWn1Gir4,85,playing snare drum,train
1NtNrpTydPs,245,playing squash,test
1h1X7bUHCSs,0,playing bass guitar,train
1NPKK-cESck,20,ambulance siren,train
1NmU6nT3hO8,30,male singing,train
3FRbdOsd4m8,40,playing banjo,train
3fQAojQ6blE,70,fire truck siren,train
3FUn-MHO7Gw,30,playing acoustic guitar,test
3FVwWYkKLOs,111,playing hockey,train
1-nGUH6j4R4,53,slot machine,train
1gVmC3MU8nA,24,tractor digging,train
1h9IcS56wbg,73,bird wings flapping,train
1NE2dmjeEGw,24,"vehicle horn, car horn, honking",train
1NdXSl9IB3U,25,car engine starting,test
1gsVyTb-bpI,29,police car (siren),train
3g7W8sgWzhU,54,vacuum cleaner cleaning floors,train
1ND2PnKkzHA,208,playing badminton,train
1NbfuGdvmLE,446,people eating noodle,train
1hbeXCKcTWw,30,waterfall burbling,train
1MZBdGy0rAg,30,playing acoustic guitar,train
3G78Or5Sam0,30,playing acoustic guitar,test
1hlPvLZt9J0,5,chicken crowing,train
1N7SonH2MK4,30,"engine accelerating, revving, vroom",train
1MXmh0q26vs,125,playing guiro,test
1MYIYf82ZnM,30,toilet flushing,train
1MXmh0q26vs,187,playing guiro,train
3GF11zdExuY,4,scuba diving,test
1MVOkDjAAVs,24,playing badminton,train
1MvkvnEaWCg,5,dog bow-wow,train
1MSYO4wgiag,120,people coughing,test
3g7W8sgWzhU,79,vacuum cleaner cleaning floors,train
3gaT_BhYSIY,70,playing trombone,train
3Gc8iEAZgwk,0,stream burbling,test
1hjyVDi4z2Y,16,frog croaking,train
1hNiiHE1MJg,42,crow cawing,train
1MuRuFoLk6M,270,"playing marimba, xylophone",train
1MOH2REl_tM,30,playing electric guitar,test
1hF6PX9RX8A,311,playing tabla,train
3GF11zdExuY,58,scuba diving,train
1MNFJtjJeRE,40,playing cymbal,train
1hA5COzE6sY,0,"race car, auto racing",train
1hAM69Rlr0k,144,"heart sounds, heartbeat",train
1Mi4K25EHKg,100,playing electronic organ,train
1hBOha7wUrE,83,playing badminton,train
1hqGdxOZdhg,30,dog bow-wow,train
1MhjSKooAZo,300,ocean burbling,test
1MFCZrDU1NQ,30,female singing,train
1MEX_aACd00,470,rope skipping,test
1ML5am3fmR8,6,stream burbling,train
1MDP9gGy2y8,0,chicken crowing,train
1hNrvSjGjcQ,40,"playing marimba, xylophone",test
1MCjHVRBDTk,55,slot machine,train
